Date,Time,Name,Matching File,Residual
07/19/2022,14:17:24,champers,champers6.txt,0.28547053520914467
07/19/2022,14:17:24,champers,champers2.txt,0.2967367388260157
07/19/2022,14:17:24,champers,champers4.txt,0.22703526325711243
07/19/2022,14:17:25,champers,champers2.txt,0.2664358057482108
07/19/2022,14:17:26,champers,champers2.txt,0.2732643324959463
07/19/2022,14:17:26,champers,champers4.txt,0.23863010808644192
07/19/2022,14:17:27,champers,champers6.txt,0.2808244276653946
07/19/2022,14:17:27,champers,champers6.txt,0.2927840693973589
07/19/2022,14:17:27,champers,champers6.txt,0.29176021645657424
07/19/2022,14:17:29,champers,champers4.txt,0.21145511480590173
07/19/2022,14:17:29,champers,champers4.txt,0.19551976590320597
07/19/2022,14:20:49,champers,champers2.txt,0.27257404597459955
07/19/2022,14:20:49,champers,champers2.txt,0.2584337986204881
07/19/2022,14:20:49,champers,champers2.txt,0.27064054053881925
07/19/2022,14:20:49,champers,champers2.txt,0.2791076206831846
07/19/2022,14:20:49,champers,champers2.txt,0.2703745925643306
07/19/2022,14:20:49,champers,champers2.txt,0.2640786303268302
07/19/2022,14:20:49,champers,champers2.txt,0.28242948593073225
07/19/2022,14:20:49,champers,champers2.txt,0.24638384227465593
07/19/2022,14:20:49,champers,champers2.txt,0.25163094423816823
07/19/2022,14:20:49,champers,champers2.txt,0.2580603132168222
07/19/2022,14:20:49,champers,champers2.txt,0.2949088864578022
07/19/2022,14:20:49,champers,champers6.txt,0.21296364691831482
07/19/2022,14:20:49,champers,champers6.txt,0.25321319584258517
07/19/2022,14:20:50,champers,champers6.txt,0.23376289948713935
07/19/2022,14:20:50,champers,champers6.txt,0.25030033705390475
07/19/2022,14:20:50,champers,champers4.txt,0.2984145932728871
07/19/2022,14:23:23,champers,champers1.txt,0.29321091008778766
07/19/2022,14:23:28,champers,champers8.txt,0.29732646732755985
07/19/2022,14:23:30,champers,champers6.txt,0.2713473109992981
07/19/2022,14:23:30,champers,champers4.txt,0.28167180684987736
07/19/2022,14:23:30,champers,champers1.txt,0.29062608864127304
07/19/2022,14:23:30,champers,champers2.txt,0.2546284329744144
07/19/2022,14:23:30,champers,champers2.txt,0.2784999837246721
07/19/2022,14:23:32,champers,champers2.txt,0.29417997965867004
07/19/2022,14:23:32,champers,champers2.txt,0.2935647362530228
07/19/2022,14:23:32,champers,champers2.txt,0.2729009198276474
07/19/2022,14:23:32,champers,champers2.txt,0.2777029151684799
07/19/2022,14:23:32,champers,champers1.txt,0.29855303486130436
07/19/2022,14:23:52,champers,champers7.txt,0.28593915179940954
07/19/2022,14:23:53,champers,champers6.txt,0.23546749462516015
07/19/2022,14:23:54,champers,champers7.txt,0.29900595939751173
07/19/2022,14:23:54,champers,champers7.txt,0.29792585253538606
07/19/2022,14:23:54,champers,champers6.txt,0.2792356681915791
07/19/2022,14:24:00,champers,champers2.txt,0.2090115986609452
07/19/2022,14:24:00,champers,champers2.txt,0.2872729694337187
07/19/2022,14:24:01,champers,champers2.txt,0.24031281716381314
07/19/2022,14:24:01,champers,champers2.txt,0.25330111237230657
07/19/2022,14:24:01,champers,champers2.txt,0.24056504336475748
07/19/2022,14:24:01,champers,champers2.txt,0.2364487803873353
07/19/2022,14:24:01,champers,champers2.txt,0.24099322544486623
07/19/2022,14:24:01,champers,champers2.txt,0.2825743813278636
07/19/2022,14:24:01,champers,champers2.txt,0.29663451833145715
07/19/2022,14:24:01,champers,champers2.txt,0.25388416276680437
07/19/2022,14:24:01,champers,champers2.txt,0.2766244485707311
07/19/2022,14:24:02,champers,champers2.txt,0.25755930137604677
07/19/2022,14:24:02,champers,champers2.txt,0.25477312935841656
07/19/2022,14:24:02,champers,champers2.txt,0.26008732044861105
07/19/2022,14:24:02,champers,champers2.txt,0.2802395046429328
07/19/2022,14:24:02,champers,champers2.txt,0.2735986672324371
07/19/2022,14:24:02,champers,champers2.txt,0.27048361710843305
07/19/2022,14:24:02,champers,champers2.txt,0.2754710737612499
07/19/2022,14:24:02,champers,champers2.txt,0.27498106172115
07/19/2022,14:24:02,champers,champers2.txt,0.27414456236911444
07/19/2022,14:24:02,champers,champers2.txt,0.2540185754898271
07/19/2022,14:24:02,champers,champers2.txt,0.26918047843969706
07/19/2022,14:24:03,champers,champers2.txt,0.2596526665029698
07/19/2022,14:24:03,champers,champers2.txt,0.25668840597723275
07/19/2022,14:24:03,champers,champers2.txt,0.2415390033978142
07/19/2022,14:24:03,champers,champers2.txt,0.25107689965571034
07/19/2022,14:24:03,champers,champers2.txt,0.29893552296266634
07/19/2022,14:24:03,champers,champers2.txt,0.2996827225666998
07/19/2022,14:24:03,champers,champers4.txt,0.20151656299151044
07/19/2022,14:24:03,champers,champers2.txt,0.2699221775098335
07/19/2022,14:24:03,champers,champers2.txt,0.28371026748636596
07/19/2022,14:24:03,champers,champers2.txt,0.2801922975850789
07/19/2022,14:24:03,champers,champers4.txt,0.20556582118794664
07/19/2022,14:24:03,champers,champers6.txt,0.20822992334683244
07/19/2022,14:24:03,champers,champers3.txt,0.29874650299597016
07/19/2022,14:24:04,champers,champers7.txt,0.2836885954620947
07/19/2022,14:24:04,champers,champers7.txt,0.2860359133243373
07/19/2022,14:24:04,champers,champers5.txt,0.2849655228083513
07/19/2022,14:24:04,champers,champers9.txt,0.2945406362338404
07/19/2022,14:24:04,champers,champers9.txt,0.21973311583318778
07/19/2022,14:24:04,champers,champers6.txt,0.26666279961598316
07/19/2022,14:24:04,champers,champers5.txt,0.2898910414382484
07/19/2022,14:24:04,champers,champers6.txt,0.29003253100725745
07/19/2022,14:24:04,champers,champers5.txt,0.284435903616718
07/19/2022,14:24:04,champers,champers5.txt,0.28881576783994634
07/19/2022,14:24:04,champers,champers9.txt,0.2067328859732558
07/19/2022,14:24:04,champers,champers9.txt,0.2102946623623383
07/19/2022,14:24:04,champers,champers5.txt,0.2998028640053946
07/19/2022,14:24:05,champers,champers9.txt,0.220815586666941
07/19/2022,14:24:05,champers,champers9.txt,0.21934701478795537
07/19/2022,14:24:05,champers,champers6.txt,0.27145648545503986
07/19/2022,14:24:05,champers,champers6.txt,0.2585971095989734
07/19/2022,14:24:05,champers,champers2.txt,0.2848917119953972
07/19/2022,14:24:05,champers,champers2.txt,0.24825539190062007
